address,rooms,price,link,date
"Минск, улица Жудро, 39",1,200.00,https://r.onliner.by/ak/apartments/220763,2017-11-14T11:58:33+0300
"Пинск, улица Дзержинского, 25",1,120.00,https://r.onliner.by/ak/apartments/273457,2017-11-13T23:20:04+0300
"Минск, улица Кунцевщина, 13",1,280.00,https://r.onliner.by/ak/apartments/273409,2017-11-13T20:33:12+0300
"Боровляны, Речная улица",1,250.00,https://r.onliner.by/ak/apartments/264225,2017-11-13T15:06:05+0300
"Минск, улица Рафиева, 54",1,300.00,https://r.onliner.by/ak/apartments/268058,2017-11-13T13:16:31+0300
"Гродно, улица Белуша, 20Б",1,300.00,https://r.onliner.by/ak/apartments/15667,2017-11-13T13:02:39+0300
"Колодищи, Н9031, 230",1,300.00,https://r.onliner.by/ak/apartments/273251,2017-11-13T12:07:14+0300
"Минск, улица Лили Карастояновой, 25",1,220.00,https://r.onliner.by/ak/apartments/273140,2017-11-12T22:18:33+0300
"Минск, улица Веры Хоружей, 8",1,300.00,https://r.onliner.by/ak/apartments/265208,2017-11-12T17:26:13+0300
"Минск, Сухаревская улица, 13",1,190.00,https://r.onliner.by/ak/apartments/231804,2017-11-12T12:44:30+0300
"Могилёв, 4-й переулок Мечникова, 3А",1,100.00,https://r.onliner.by/ak/apartments/60750,2017-11-12T11:24:50+0300
"Минск, улица Некрасова, 28",1,290.00,https://r.onliner.by/ak/apartments/129184,2017-11-11T23:32:43+0300
"Гомель, проспект Ленина, 35",1,80.00,https://r.onliner.by/ak/apartments/101154,2017-11-11T22:53:39+0300
"Минск, Козыревская улица, 4",1,220.00,https://r.onliner.by/ak/apartments/273036,2017-11-11T22:41:48+0300
"Минск, улица Малинина, 34",1,210.00,https://r.onliner.by/ak/apartments/272984,2017-11-11T17:57:35+0300
"Минск, улица Матусевича, 88",1,290.00,https://r.onliner.by/ak/apartments/272521,2017-11-09T22:39:04+0300
"Минск, улица Янки Лучины, 18",1,495.00,https://r.onliner.by/ak/apartments/272482,2017-11-09T20:16:38+0300
"Лесной, 32",1,220.00,https://r.onliner.by/ak/apartments/193462,2017-11-09T20:02:43+0300
"Минск, улица Рафиева, 54",1,600.00,https://r.onliner.by/ak/apartments/268061,2017-11-09T19:59:22+0300
"Минск, проспект Независимости, 137 к1",1,230.00,https://r.onliner.by/ak/apartments/272342,2017-11-09T13:39:05+0300
"Минск, улица Руссиянова, 24",1,250.00,https://r.onliner.by/ak/apartments/270783,2017-11-08T20:07:26+0300
"Могилёв, 18",1,300.00,https://r.onliner.by/ak/apartments/271976,2017-11-07T23:03:16+0300
"Заречье, Поселковая улица, 1",1,150.00,https://r.onliner.by/ak/apartments/271965,2017-11-07T20:55:22+0300
"Минск, переулок Кабушкина, 13",1,170.00,https://r.onliner.by/ak/apartments/271492,2017-11-07T16:48:52+0300
"Гомель, проспект Космонавтов, 90",1,150.00,https://r.onliner.by/ak/apartments/268684,2017-11-06T20:06:04+0300
улица Леонардо да Винчи,1,300.00,https://r.onliner.by/ak/apartments/271710,2017-11-06T17:47:42+0300
"Речица, Светлогорское шоссе, 7/1",1,50.00,https://r.onliner.by/ak/apartments/271519,2017-11-05T17:31:09+0300
"Минск, Налибокская улица, 18",1,180.00,https://r.onliner.by/ak/apartments/271494,2017-11-05T13:53:28+0300
"Минск, Авроровская улица, 6",1,170.00,https://r.onliner.by/ak/apartments/271488,2017-11-05T13:36:37+0300
"Минск, улица Гамарника, 28",1,170.00,https://r.onliner.by/ak/apartments/271484,2017-11-05T13:32:58+0300
"Минск, улица Наполеона Орды, 25",1,180.00,https://r.onliner.by/ak/apartments/271473,2017-11-05T13:13:15+0300
"Минск, улица Данилы Сердича, 3",1,265.00,https://r.onliner.by/ak/apartments/271274,2017-11-04T10:30:56+0300
"Минск, улица Сергея Есенина, 59",1,230.00,https://r.onliner.by/ak/apartments/271239,2017-11-04T01:19:29+0300
"Борисов, улица 1 Июля",1,110.00,https://r.onliner.by/ak/apartments/173353,2017-11-03T12:48:22+0300
"Новополоцк, Молодёжная улица, 173",1,120.00,https://r.onliner.by/ak/apartments/194637,2017-11-03T11:21:59+0300
"Бобруйск, Красноармейская улица",1,300.00,https://r.onliner.by/ak/apartments/262403,2017-11-03T10:42:43+0300
"Бобруйск, Приберезинский бульвар, 24 к1",1,250.00,https://r.onliner.by/ak/apartments/164867,2017-11-03T10:42:29+0300
"Минск, улица Лобанка, 28 к1",1,220.00,https://r.onliner.by/ak/apartments/256352,2017-11-02T20:17:41+0300
"Минск, Налибокская улица, 34",1,250.00,https://r.onliner.by/ak/apartments/269303,2017-11-02T15:53:37+0300
"Минск, проспект Рокоссовского, 57",1,300.00,https://r.onliner.by/ak/apartments/270465,2017-10-31T18:40:52+0300
"Минск, улица Притыцкого",1,280.00,https://r.onliner.by/ak/apartments/270459,2017-10-31T18:21:21+0300
"Минск, улица Жуковского, 27",1,250.00,https://r.onliner.by/ak/apartments/111284,2017-10-31T15:54:51+0300
"Минск, улица Левкова, 30",1,299.00,https://r.onliner.by/ak/apartments/270399,2017-10-31T14:42:35+0300
"Минск, Парниковая улица, 3 к1",1,240.00,https://r.onliner.by/ak/apartments/254920,2017-10-30T23:13:38+0300
"Минск, улица Багратиона, 69",1,300.00,https://r.onliner.by/ak/apartments/270115,2017-10-30T11:07:38+0300
"Минск, улица Героев 120 Дивизии",1,220.00,https://r.onliner.by/ak/apartments/202561,2017-10-28T19:09:58+0300
